dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	soundname	cog	sd	skewness	kurtosis	utterance	language	stimulus	cog_Bark	sd_bark	sd_distance
d21	sajkok_3	20.56074	5.29943	7057.507	0.006088791	chukchi_d21_saikok	6729.1953091596815	2170.1412780059045	-0.5045263474990302	3.496135172732381	3	chukchi	sajkok	20.282346008544085	13.627056282897263	0.9617925663881123
d21	sajkok_4	22.69248	1.454121	5996.997	0.004542113	chukchi_d21_saikok	8714.50218581965	2711.8769419402684	-1.1313015109697824	1.029121069467128	4	chukchi	sajkok	21.738694869676685	15.00283243480111	0.9617925663881123
d22	nəsasaqen_1	19.58233	8.313721	5975.464	0.009600495	chukchi_d22	7767.51672190979	4478.74219773722	-0.6320355741014081	-0.48787327719827234	1	chukchi	nəsasaqen	21.11036666955237	17.90457760834365	0.9617925663881123
d22	nəsasaqen_2	19.99784	4.56229	6497.644	0.004950117	chukchi_d22	6297.955560134671	3949.680827229714	-0.6604375618426406	-0.8450048978488698	2	chukchi	nəsasaqen	19.892453412001952	17.186746944893667	0.9617925663881123
d22	nəsasaqen_3	19.53433	8.576205	5927.014	0.009966376	chukchi_d22	10082.797704032408	4322.792946420433	-1.161833522977299	0.7794647238141681	3	chukchi	nəsasaqen	22.462386998372384	17.701761608593817	0.9617925663881123
d22	nəsasaqen_4	19.62469	7.786888	6018.53	0.00900062	chukchi_d22	4879.433106380242	4980.418574968359	0.35832159026348936	-1.2390666218096777	4	chukchi	nəsasaqen	18.39762633537041	18.51618554115264	0.9617925663881123
d22	nəsasaqen2_1	19.76033	9.270826	6158.496	0.010651328	chukchi_d22	7634.837681880179	4739.844363713729	-0.3686678931311624	-0.8032722601004867	2	chukchi	nəsasaqen2	21.012969246988607	18.230121622907188	0.9617925663881123
d22	nəsasaqen2_2	19.67722	8.990659	6072.363	0.010189419	chukchi_d22	10514.891832469466	3691.937215235037	-1.22085397942497	1.7482380021950776	2	chukchi	nəsasaqen2	22.65257774106353	16.801735987778294	0.9617925663881123
d22	nəsasaqen2_3	19.84737	12.145178	6250.012	0.013575316	chukchi_d22	9138.148213007227	3624.9718925608086	-0.9727502598644966	0.7163481284976458	2	chukchi	nəsasaqen2	21.984294250032363	16.697097651985025	0.9617925663881123
d22	nəsasaqen2_4	19.4589	11.231254	5851.648	0.013082144	chukchi_d22	9197.091211527817	4095.140185019165	-0.9124739576949998	0.2905285573886398	2	chukchi	nəsasaqen2	22.01685195429352	17.392941054424814	0.9617925663881123
d25	коса_1	19.34404	2.404831	5738.599	0.003650615	russian_d25	7327.277556467836	3046.9097879853102	0.16853853038947286	0.8959503260769988	1	russian	коса	20.77788366497247	15.69334974535371	0.7935465864478237
d25	коса_2	19.79633	2.475617	5996.997	0.003399578	russian_d25	7941.0843698271365	2968.68593493208	-0.135299483058727	0.8364055413317466	2	russian	коса	21.234198569753833	15.540651371419369	0.7935465864478237
d25	коса_3	18.8748	8.83424	5297.168	0.005365193	russian_d25	7172.76270468563	2508.421606349477	0.6048462562087603	1.2434815397081458	3	russian	коса	20.654780169969378	14.530033105035416	0.7935465864478237
d25	коса_cf	18.73087	8.189295	5167.969	0.005564387	russian_d25	7384.43594965777	2869.8555423842313	0.006668286616020413	0.915879621711079	cf	russian	коса	20.822569041733708	15.340650123646673	0.7935465864478237
d25	осанка_1	19.20454	4.679346	5604.016	0.006547124	russian_d25	6045.387186361405	3653.124171500033	0.026320169281661716	-0.43350335512686433	1	russian	осанка	19.65095210682395	16.74133677455615	0.7935465864478237
d25	сахар_1	20.8819	2.908267	5221.802	0.011797055	russian_d25	7899.910858900809	2080.7255712369656	-0.42862934211253656	2.702052210331482	1	russian	сахар	21.20518709819618	13.358743508263302	0.7935465864478237
d25	сахар_2	18.3759	6.790583	4861.121	0.011349865	russian_d25	7533.915320798712	2773.136147520573	0.17885054975759185	0.26258009937240345	2	russian	сахар	20.937273270122088	15.136630040198261	0.7935465864478237
d25	сахар_3	20.99997	2.737289	4694.238	0.010221489	russian_d25	7158.51382272611	2419.2086931788863	-0.08102791968345067	0.8354410997360495	3	russian	сахар	20.643257298650425	14.307359757990117	0.7935465864478237
d25	сахар_cf	19.62996	3.614564	5996.997	0.00525872	russian_d25	6242.609893887405	3497.7463874374066	-0.3254219608878087	-0.22864759898957976	cf	russian	сахар	19.84037739426357	16.492433446868407	0.7935465864478237
d28	коса_1	20.99997	3.296951	6998.291	0.00432469	russian_d28	8884.612945306018	2279.0480869069847	-0.16697093611237868	2.3113881367741467	1	russian	коса	21.83980221203346	13.935923907947675	0.7935465864478237
