dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d48	sabəjə_2	19.92064	6.5765625	6328.125	0.007736928	
d48	sabəjə_3	20.00736	7.4737308	6421.875	0.008641032	
d48	sabəjə_cf	20.21317	8.8381816	7998.047	0.004473048	
d48	sapɐ_1	20.43112	7.1975661	6902.344	0.007699218	
d48	sapɐ_2	20.99983	5.8440285	7998.047	0.005357791	
d48	sapɐ_3	20.44104	7.3962383	6914.062	0.008091876	
d48	sapɐ_cf	20.45093	9.276941	7998.047	0.008971019	
d48	sɐɕɐ_1	20.30554	-0.5651129	6755.859	0.01900037	delete
d48	sɐɕɐ_2	17.78825	24.6189918	4388.672	0.044436749	delete
d48	sɐɕɐ_3	20.18722	8.8798165	7998.047	0.006530996	delete
d48	sɐɕɐ_cf	20.99983	6.6028665	7998.047	0.006038154	delete
d48	sɐŝ'ə_1	20.41622	5.5307497	6884.766	0.006149396	delete
d48	sɐŝ'ə_2	20.39128	7.2118597	6855.469	0.008122725	delete
d48	sɐŝ'ə_3	20.45093	3.7467267	6925.781	0.003729241	delete
d48	sɐŝ'ə_cf	17.81873	22.3453892	4412.109	-0.001422642	delete
d48	sɐχɐ_1	20.99983	6.3778598	7998.047	0.006713799	delete
d48	sɐχɐ_2	20.40626	5.1465758	6873.047	0.004842611	delete
d48	sɐχɐ_3	20.43608	6.1157839	6908.203	0.006726107	delete
d48	sɐχɐ_cf	20.46573	8.2432489	6943.359	0.009559467	delete
d48	səʒɐ_1	20.40377	6.3001675	6870.117	0.00722914	delete
d48	səʒɐ_2	20.42864	9.7865765	6899.414	0.010522181	delete
d48	səʒɐ_3	20.40377	7.9726752	6870.117	0.009253322	delete
d48	səʒɐ_cf	20.49274	5.8970297	7998.047	0.004630065	delete
d6	sajkanə_1	19.8321	3.858616	6233.862	0.004745786	
